Artist,Year
Christina Aguilera,1998
Johnny Cash,1956
Lionel Richie,1981
Alicia Keys,2001
Justin Timberlake,2002
Ariana Grande,2013
R.E.M.,1983
Post Malone,2015
Johnny Hallyday,1960
Tom Petty,1977
Ayumi Hamasaki,1998
Van Halen,1978
The Black Eyed Peas,1998
Tim McGraw,1994
Shakira,1995
Usher,1994
Flo Rida,2007
Imagine Dragons,2012
The Weeknd,2013
Aretha Franklin,1961
Kiss,1974
Barry Manilow,1973
Gloria Estefan,1984
The Police,1978
Bob Marley,1975
Bryan Adams,1979
Enya,1987
Green Day,1994
Kenny G,1984
Bob Seger,1967
Robbie Williams,1996
Nirvana,1990
R. Kelly,1991
Alabama,1980
Tupac Shakur,1991
Luke Bryan,2007
The Beatles,1962
Elvis Presley,1956
Michael Jackson,1971
Madonna,1983
Queen,1973
Elton John,1970
Led Zeppelin,1969
Rihanna,2005
Pink Floyd,1967
Mariah Carey,1990
Eminem,1999
Celine Dion,1981
Taylor Swift,2006
Beyoncé,2002
The Rolling Stones,1963
AC/DC,1975
Eagles,1972
Whitney Houston,1984
Garth Brooks,1989
Drake,2009
Billy Joel,1971
Kanye West,2003
Aerosmith,1973
U2,1980
Bruce Springsteen,1973
Bruno Mars,2010
Ed Sheeran,2011
Justin Bieber,2009
Frank Sinatra,1940
ABBA,1972
Barbra Streisand,1963
Phil Collins,1981
Katy Perry,2008
Chris Brown,2005
Metallica,1983
Jay-Z,1996
Lady Gaga,2008
Adele,2008
Maroon 5,2002
Lil Wayne,1999
Bee Gees,1963
Rod Stewart,1969
Bon Jovi,1983
Fleetwood Mac,1968
Red Hot Chili Peppers,1987
Linkin Park,2000
Coldplay,1999
Nicki Minaj,2010
Donna Summer,1974
The Beach Boys,1962
Linda Ronstadt,1968
Olivia Newton-John,1966
Tina Turner,1960
James Taylor,1970
Stevie Wonder,1962
Genesis,1969
David Bowie,1967
Def Leppard,1979
Cher,1965
"Earth, Wind & Fire",1971
Meat Loaf,1977
The Carpenters,1969
Bob Dylan,1963
Chicago,1969
Foreigner,1977
The Doors,1967
Julio Iglesias,1968
Dire Straits,1978
George Michael,1984
Simon & Garfunkel,1964
Santana,1969
Kenny Rogers,1975
Journey,1975
Janet Jackson,1982
Paul McCartney,1970
Prince,1978
Neil Diamond,1966
Eric Clapton,1970
Backstreet Boys,1995
Guns N' Roses,1987
Shania Twain,1993
B'z,1988
Britney Spears,1998
Pink,2000
George Strait,1984
